                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.28158,                0.25218,                0.89644,                0.77689,                 0.7419,                 0.8077,                0.80412,                0.14752,                0.70074,                0.76975,              0.0003367,              0.0003367,              0.0003367
                     69,                0.27593,                0.25462,                0.89273,                0.79458,                0.74576,                0.80815,                0.80471,                0.14648,                0.69086,                0.76954,              0.0003268,              0.0003268,              0.0003268
                     70,                0.28355,                0.25094,                 0.8965,                0.74868,                0.75711,                0.80174,                0.79798,                0.15012,                0.70642,                0.77144,              0.0003169,              0.0003169,              0.0003169
                     71,                0.28564,                 0.2556,                 0.9005,                0.76733,                0.73482,                0.79536,                0.79163,                0.14963,                0.72337,                0.77072,               0.000307,               0.000307,               0.000307
                     72,                0.27026,                0.24531,                0.88519,                0.77299,                0.77147,                 0.8124,                0.80889,                0.14867,                0.69683,                0.76871,              0.0002971,              0.0002971,              0.0002971
                     73,                 0.2655,                0.24338,                0.89022,                 0.7781,                0.75529,                0.81068,                0.80697,                 0.1499,                0.69961,                 0.7683,              0.0002872,              0.0002872,              0.0002872
                     74,                 0.2673,                0.24002,                0.88732,                0.77282,                0.75644,                0.80689,                0.80298,                 0.1456,                0.69985,                0.76615,              0.0002773,              0.0002773,              0.0002773
                     75,                0.26782,                0.23809,                 0.8848,                0.77103,                0.76163,                0.80795,                0.80451,                0.14375,                0.70693,                0.76573,              0.0002674,              0.0002674,              0.0002674
                     76,                0.27047,                0.24248,                0.88908,                0.77348,                0.76425,                0.80885,                0.80534,                0.14544,                0.70277,                0.76651,              0.0002575,              0.0002575,              0.0002575
                     77,                0.27401,                0.24569,                0.88664,                0.77335,                0.77475,                0.81323,                0.80955,                0.14504,                0.67449,                0.76654,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.2699,                0.23707,                0.89054,                0.79031,                0.74465,                0.81409,                0.81035,                0.14454,                0.68711,                0.76635,              0.0002377,              0.0002377,              0.0002377
                     79,                0.27047,                0.24243,                0.88728,                 0.7745,                0.74578,                 0.8064,                0.80265,                0.14579,                0.71483,                0.76799,              0.0002278,              0.0002278,              0.0002278
                     80,                0.26879,                0.23692,                0.89267,                0.76926,                0.76197,                0.81129,                0.80763,                0.14641,                0.68748,                0.76882,              0.0002179,              0.0002179,              0.0002179
                     81,                0.27285,                0.23444,                0.89814,                0.76957,                0.75684,                0.80929,                0.80575,                0.14454,                0.69589,                0.76893,               0.000208,               0.000208,               0.000208
                     82,                0.27435,                0.23699,                 0.8941,                0.76485,                0.76124,                0.80657,                0.80303,                 0.1451,                0.71637,                0.76908,              0.0001981,              0.0001981,              0.0001981
                     83,                0.27335,                0.23616,                0.89234,                0.79057,                0.73908,                0.80637,                0.80268,                0.14608,                0.71356,                0.76851,              0.0001882,              0.0001882,              0.0001882
                     84,                0.26932,                0.23619,                 0.8887,                0.76083,                0.75991,                0.80745,                0.80402,                0.14442,                0.72891,                0.76728,              0.0001783,              0.0001783,              0.0001783
                     85,                0.26927,                0.23135,                0.88809,                0.77172,                0.75327,                0.80768,                0.80421,                0.14313,                0.73153,                0.76713,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.2627,                 0.2261,                0.88178,                0.79176,                0.74469,                 0.8067,                0.80324,                0.14326,                 0.7194,                0.76762,              0.0001585,              0.0001585,              0.0001585
                     87,                 0.2664,                0.22675,                0.88537,                0.77731,                0.76321,                0.81026,                0.80664,                0.14241,                 0.7151,                0.76639,              0.0001486,              0.0001486,              0.0001486
                     88,                0.26664,                0.22359,                0.88828,                0.78758,                0.75651,                0.81191,                0.80834,                0.14359,                0.70311,                 0.7662,              0.0001387,              0.0001387,              0.0001387
                     89,                0.26423,                0.22353,                0.88383,                0.77984,                0.75996,                0.81195,                0.80848,                0.14378,                0.69991,                0.76645,              0.0001288,              0.0001288,              0.0001288
                     90,                0.26337,                0.21986,                0.88492,                0.77695,                0.75723,                0.80747,                0.80423,                 0.1433,                0.70678,                0.76641,              0.0001189,              0.0001189,              0.0001189
                     91,                0.16642,                0.13574,                0.79847,                0.76721,                0.75165,                0.80062,                0.79682,                0.14618,                0.72486,                0.76869,               0.000109,               0.000109,               0.000109
                     92,                0.16455,                0.13161,                0.80405,                 0.7641,                0.76297,                0.80126,                0.79733,                0.14694,                0.72066,                 0.7685,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.15953,                0.12419,                0.80643,                0.77427,                0.75234,                0.80127,                0.79759,                0.14591,                0.71406,                0.76751,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.16078,                0.12721,                0.80522,                 0.7835,                0.75001,                0.80342,                0.79974,                 0.1456,                0.71221,                0.76732,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.16224,                0.12526,                0.80906,                0.78075,                 0.7469,                0.80242,                0.79898,                0.14481,                0.71121,                0.76745,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.16152,                0.12632,                0.80836,                0.76376,                0.75348,                0.80265,                0.79893,                0.14732,                0.71982,                0.76743,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.16197,                0.12761,                0.80331,                0.78782,                0.74289,                0.80452,                0.80134,                0.14463,                0.71929,                0.76732,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.15662,                 0.1218,                0.80118,                0.79245,                0.74086,                0.80438,                0.80095,                0.14561,                0.72068,                0.76744,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.16174,                 0.1275,                0.80832,                0.78135,                0.74697,                0.80529,                0.80184,                0.14625,                0.72163,                0.76718,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.16102,                0.12357,                0.80699,                0.78764,                0.74306,                0.80499,                0.80163,                0.14485,                0.71643,                0.76729,               1.99e-05,               1.99e-05,               1.99e-05
