                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.28869,                0.26361,                0.87222,                0.75071,                0.75807,                0.80595,                0.80109,                0.15984,                0.66746,                0.76607,              0.0001585,              0.0001585,              0.0001585
                     87,                0.29065,                0.27423,                0.87953,                0.75864,                0.74536,                0.80508,                0.80011,                0.15886,                0.65527,                 0.7661,              0.0001486,              0.0001486,              0.0001486
                     88,                0.29136,                0.26985,                0.87971,                0.75688,                0.73606,                0.80142,                0.79668,                0.15729,                0.67392,                0.76397,              0.0001387,              0.0001387,              0.0001387
                     89,                0.28545,                0.26699,                0.87401,                0.77226,                0.73435,                0.80656,                0.80153,                0.15827,                0.65591,                0.76489,              0.0001288,              0.0001288,              0.0001288
                     90,                0.28594,                0.26366,                0.87796,                0.75742,                0.73799,                0.80447,                0.79968,                0.15732,                0.67271,                0.76504,              0.0001189,              0.0001189,              0.0001189
                     91,                0.18356,                0.16673,                0.79987,                 0.7743,                0.71333,                  0.801,                0.79558,                0.16178,                0.66631,                0.76711,               0.000109,               0.000109,               0.000109
                     92,                0.18384,                0.16361,                0.80132,                0.76602,                0.73238,                0.80244,                0.79678,                0.16096,                0.65841,                0.76672,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.18003,                0.15617,                0.80356,                0.75073,                0.73933,                0.79846,                0.79264,                0.16228,                0.67447,                0.76665,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.17968,                0.15939,                0.80571,                0.74517,                 0.7503,                0.80276,                0.79747,                0.15987,                0.66172,                0.76587,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 0.1794,                0.15741,                0.80488,                0.75381,                0.74153,                0.80182,                0.79659,                0.15843,                0.66659,                0.76473,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.18057,                0.15659,                0.80474,                0.74984,                 0.7387,                0.80441,                0.79908,                0.15968,                0.65911,                0.76464,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.18175,                 0.1533,                0.80301,                0.76651,                0.73786,                0.80718,                0.80225,                0.15803,                 0.6494,                0.76499,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.17498,                0.14964,                0.79891,                0.74814,                0.74685,                0.80413,                0.79926,                0.15803,                0.65958,                0.76502,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.17923,                0.15288,                0.80303,                0.76693,                0.73134,                0.80724,                0.80232,                 0.1587,                0.66023,                0.76439,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.18175,                0.15228,                0.80244,                0.77935,                0.72054,                 0.8069,                0.80195,                0.15768,                 0.6589,                0.76472,               1.99e-05,               1.99e-05,               1.99e-05
