                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.32699,                0.58691,                0.86737,                0.74644,                 0.7499,                 0.7949,                0.78718,                0.18002,                0.76241,                 0.7646,              0.0003664,              0.0003664,              0.0003664
                     66,                0.33098,                0.58577,                  0.872,                 0.7472,                 0.7457,                0.78774,                0.77933,                0.18158,                0.76056,                0.76523,              0.0003565,              0.0003565,              0.0003565
                     67,                 0.3288,                0.58057,                0.87376,                0.74782,                0.73747,                0.78924,                 0.7807,                0.18096,                0.77218,                0.76502,              0.0003466,              0.0003466,              0.0003466
                     68,                0.33774,                0.57858,                0.87654,                0.76495,                0.73704,                0.79304,                0.78436,                0.17974,                0.74682,                0.76515,              0.0003367,              0.0003367,              0.0003367
                     69,                0.33256,                  0.577,                0.87486,                 0.7682,                0.73654,                0.79175,                0.78318,                0.17727,                0.74953,                0.76505,              0.0003268,              0.0003268,              0.0003268
                     70,                0.33748,                0.57824,                0.88039,                0.73581,                0.75278,                0.79407,                0.78602,                0.18054,                0.75048,                0.76465,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.3395,                0.58646,                0.87745,                0.77232,                0.72538,                0.79147,                0.78309,                0.17912,                0.75763,                0.76517,               0.000307,               0.000307,               0.000307
                     72,                 0.3272,                0.56399,                0.87154,                0.76761,                0.73192,                0.79047,                 0.7822,                0.17817,                0.75638,                0.76447,              0.0002971,              0.0002971,              0.0002971
                     73,                0.31951,                0.55772,                0.87104,                0.76308,                0.72255,                0.78274,                0.77525,                0.17919,                0.76226,                0.76457,              0.0002872,              0.0002872,              0.0002872
                     74,                0.32022,                0.55703,                0.86946,                0.74803,                0.73927,                0.78717,                0.77906,                0.17785,                0.76711,                 0.7646,              0.0002773,              0.0002773,              0.0002773
                     75,                0.32465,                0.56138,                0.87001,                 0.7428,                0.75666,                0.79857,                 0.7904,                0.17586,                0.73017,                0.76432,              0.0002674,              0.0002674,              0.0002674
                     76,                0.32388,                0.55688,                0.87509,                0.74395,                 0.7676,                0.80074,                0.79208,                0.17918,                0.72892,                0.76464,              0.0002575,              0.0002575,              0.0002575
                     77,                0.32861,                0.55947,                0.87342,                0.75315,                0.75809,                0.79322,                0.78488,                0.17792,                0.74378,                 0.7644,              0.0002476,              0.0002476,              0.0002476
                     78,                0.32588,                0.54931,                0.87513,                0.75099,                  0.751,                0.79593,                0.78824,                0.17362,                0.74117,                0.76417,              0.0002377,              0.0002377,              0.0002377
                     79,                0.32401,                0.56151,                0.87019,                 0.7806,                0.73418,                0.80336,                0.79526,                0.17723,                0.72711,                0.76481,              0.0002278,              0.0002278,              0.0002278
                     80,                0.32504,                0.54698,                0.87597,                 0.7628,                0.74748,                0.79701,                0.78858,                0.17724,                0.73056,                0.76434,              0.0002179,              0.0002179,              0.0002179
                     81,                 0.3248,                0.54583,                0.87715,                0.74599,                0.75176,                0.79548,                0.78746,                0.17572,                 0.7429,                0.76414,               0.000208,               0.000208,               0.000208
                     82,                0.32744,                0.54828,                0.87486,                0.75043,                0.75925,                0.80166,                0.79354,                0.17562,                0.72526,                0.76393,              0.0001981,              0.0001981,              0.0001981
                     83,                0.32703,                0.53294,                0.87675,                0.76212,                0.74744,                0.80366,                0.79576,                0.17651,                0.72031,                0.76392,              0.0001882,              0.0001882,              0.0001882
                     84,                0.32506,                0.54531,                0.87145,                 0.7599,                0.73925,                0.80202,                0.79395,                0.17568,                0.70832,                0.76405,              0.0001783,              0.0001783,              0.0001783
                     85,                0.32574,                0.53628,                0.87389,                0.73847,                0.76254,                0.79937,                0.79141,                0.17433,                0.72402,                0.76407,              0.0001684,              0.0001684,              0.0001684
                     86,                0.31939,                0.52762,                0.86797,                0.76548,                0.74575,                 0.8012,                0.79348,                0.17542,                 0.7165,                0.76384,              0.0001585,              0.0001585,              0.0001585
                     87,                0.31871,                0.53623,                0.87321,                0.74731,                0.76166,                0.80395,                0.79625,                0.17396,                0.71086,                0.76365,              0.0001486,              0.0001486,              0.0001486
                     88,                0.31919,                0.52781,                0.87295,                0.77649,                0.73689,                0.80515,                 0.7977,                0.17407,                0.71341,                0.76397,              0.0001387,              0.0001387,              0.0001387
                     89,                0.31401,                0.52712,                 0.8674,                0.77919,                0.73552,                0.80218,                 0.7942,                0.17451,                0.70465,                0.76368,              0.0001288,              0.0001288,              0.0001288
                     90,                0.31899,                0.52474,                0.87212,                0.74229,                0.76447,                0.80026,                0.79264,                0.17374,                 0.7146,                0.76347,              0.0001189,              0.0001189,              0.0001189
                     91,                0.20909,                0.47457,                0.80251,                 0.7643,                0.73652,                0.80205,                0.79384,                0.17649,                 0.7184,                0.76353,               0.000109,               0.000109,               0.000109
                     92,                 0.2076,                 0.4581,                 0.8019,                0.76884,                0.73711,                0.79764,                0.78938,                0.17528,                0.72215,                0.76343,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                  0.206,                0.44936,                 0.8058,                0.76236,                0.75332,                0.80069,                0.79268,                0.17467,                0.70786,                0.76321,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.20452,                0.45408,                0.80546,                0.77282,                0.74515,                0.80112,                0.79317,                0.17413,                0.71729,                 0.7634,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.20475,                0.44437,                0.80571,                0.77876,                0.73431,                0.79736,                0.78923,                 0.1747,                0.72115,                0.76345,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.20359,                0.45134,                0.80541,                0.75083,                0.76414,                  0.796,                0.78806,                0.17584,                0.72182,                0.76334,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 0.2069,                0.44322,                0.80233,                0.76096,                0.74269,                 0.7957,                0.78778,                 0.1734,                 0.7241,                0.76309,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 0.1989,                0.43839,                0.80134,                0.76869,                0.73914,                 0.7964,                0.78838,                0.17418,                0.72243,                0.76323,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.20426,                0.44386,                0.80328,                0.76632,                0.74275,                0.79745,                0.78984,                 0.1742,                0.72195,                0.76305,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.20713,                0.44294,                0.80355,                0.77269,                0.73994,                0.79956,                0.79217,                0.17288,                0.71294,                0.76298,               1.99e-05,               1.99e-05,               1.99e-05
